,en,fr,en_c,fr_c
434,therefore the commission should address the issue once and for all,START_ par conséquent la commission devra enfin examiner cette question particulière _END,11,12
435,the time has come to implement the programmes and so member states should also assume their responsibilities and do their jobs properly,START_ au demeurant monsieur le commissaire le moment est enfin venu de mettre les programmes en uvre par conséquent les états membres doivent assumer eux aussi leurs responsabilités et bien faire leur travail _END,22,34
436,as for us in parliament i would like to remind you of the code of conduct between the commission and parliament which was signed in may,START_ en ce qui nous concerne au sein du parlement je tiens à rappeler qu'il existe entre parlement et commission un code de bonne conduite qui a été signé en mai _END,26,32
437,i am absolutely certain that this code will be observed and that parliament will keep abreast of all the developments and details concerning the implementation of the programmes,START_ je suis tout à fait convaincu que ce code sera respecté et que le parlement sera tenu informé de toutes les évolutions et des détails de la mise en uvre des programmes _END,28,34
438,mr president commissioner in this minute and a half i should like first of all to congratulate mrs schroedter,START_ monsieur le président monsieur le commissaire mes chers collègues pendant cette minute et demie je voudrais d'abord féliciter notre collègue schroedter _END,19,23
439,i know many have already done so but she has indeed earned our praise for being particularly open and attentive to proposals from all sides and i think it is this openness which has given her report the quality we see today,START_ je crois que beaucoup l'ont fait déjà mais c'est qu'elle le mérite car elle a été particulièrement ouverte et attentive aux propositions des uns et des autres et je pense que sa disponibilité a donné à son rapport la qualité que nous observons aujourd'hui _END,42,46
440,i share the regrets she expressed namely that parliament has become involved rather late in the day as regards these guidelines since by now the procedure for negotiations with the states is so far advanced that i cannot see this report having any sort of immediate effect which in my view is a pity,START_ je m'associerai au regret qu'elle a exprimé que le parlement ait en quelque sorte pris le train en marche concernant ces orientations puisque la procédure de négociation avec les états est aujourd'hui à ce point avancée que l'on ne peut pas penser que ce rapport aura un impact immédiat ce que je déplore _END,54,55
441,consequently i feel we must look to the future and establish guidelines for the mid-term review in 2003 and thus have an influence on the second phase of programming set to follow 2003,START_ en conséquence il me semble qu'il doit anticiper et établir les lignes directrices de la révision à mi-parcours de 2003 voire influencer la seconde phase de programmation qui suivra 2003 _END,33,32
442,in brief i would like to say that we are entering the period when we are called upon to manage the programming for 2000-2006 which must be no routine period for the good reason that we have two major challenges to face,START_ en peu de mots je voudrais dire que nous entrons dans une période de gestion de la programmation 2000-2006 qui ne doit pas être une période de routine pour la simple et bonne raison que nous avons deux grands défis à relever _END,42,44
443,the first is the harmonisation of national development policies and regional development policies,START_ le premier c'est celui de l'harmonisation des politiques d'aménagement du territoire national et des politiques de développement régional _END,13,20
444,subsidies are not enough to ensure development when infrastructure and public services are lacking,START_ les subventions ne suffisent pas pour faire du développement quand font défaut les infrastructures ou les services publics _END,14,20
445,we must ask ourselves a fundamental question how can we ensure that union policy interfaces with the subsidiary national policies for regional development,START_ c'est donc une question de fond que nous devons nous poser  comment pouvons-nous faire en sorte que la politique de l'union s'articule avec les politiques nationales subsidiaires d'aménagement du territoire _END,23,32
446,the second challenge is that of enlargement which will of course have a considerable impact both in budgetary and geographical terms,START_ le deuxième défi est celui de l'élargissement qui aura naturellement des conséquences considérables tant en termes budgétaires qu'en termes géographiques _END,21,22
447,these are two areas of action which i invite the commissioner to set up and in which i would ask him to involve us,START_ voilà deux chantiers que j'invite le commissaire à mettre en uvre et auxquels je lui demande de nous associer _END,24,21
448,finally in this time of natural disasters i would just like to mention the issue of the use of structural funds,START_ enfin en cette période de catastrophes naturelles je voudrais tout de même évoquer la question de l'emploi des fonds structurels _END,21,22
449,as you know it is up to each state to redistribute part of the total appropriation,START_ on sait qu'il appartient à chacun des états de redistribuer une partie des enveloppes _END,16,16
450,europe should not be completely absent as the states tend to want,START_ il ne faudrait pas comme ont tendance à le vouloir les états que l'europe disparaisse complètement _END,12,18
451,public opinion and the press nowadays accuse us of being unavailable to give a response even though we are going to be funding a large proportion of the national operations,START_ aujourd'hui les opinions publiques la presse nous accusent d'être aux abonnés absents alors que nous allons financer une grande part des efforts nationaux _END,30,25
452,i think we should be capable of saying this loud and clear,START_ je crois qu'il faut que nous soyons capables de le dire haut et fort _END,12,16
453,i also think we should ensure or ask member states to ensure that there is some publicity given to european aid whenever it is used to repair damage caused by natural disasters or accidents,START_ je pense qu'il faudrait aussi que nous instaurions ou que nous demandions aux états membres qu'ils assurent une information sur les aides européennes chaque fois qu'elles sont mobilisées pour réparer les dégâts causés par des catastrophes naturelles ou des accidents _END,34,42
454,mr president the priority given to financial and monetary criteria reinforces the increase in inequalities of every shape and form,START_ monsieur le président la priorité accordée aux critères financiers et monétaires renforce la montée des inégalités sous toutes les formes _END,20,22
455,as far as french planning experts are concerned for example the most probable scenario today is that of the entrenchment of regional disparities within each country,START_ pour les experts du plan français par exemple le scénario le plus probable est aujourd'hui un creusement des différenciations régionales à l'intérieur de chaque pays _END,26,27
456,well the structural funds have helped to apply a brake to this process,START_ or les fonds structurels ont contribué à freiner ce processus _END,13,12
457,our project of a europe that aims to satisfy social needs envisages the convergence of living conditions towards the highest common denominator,START_ notre projet d'une europe tournée vers la satisfaction des besoins sociaux vise une convergence par le haut des conditions d'existence _END,22,22
458,its implementation would certainly require extending the scope of redistribution instruments such as the structural funds,START_ sa mise en uvre impliquerait certainement une extension d'instruments de redistribution comme les fonds structurels _END,16,17
459,what we are proposing specifically is a unified capital tax which would make it possible to boost the funds used to support the harmonisation of social protection systems and the reduction of working hours at european level,START_ nous proposons en particulier un impôt unifié sur le capital qui permettrait d'alimenter des fonds utilisés pour accompagner l'harmonisation des systèmes de protection sociale et la réduction du temps de travail au niveau européen _END,37,36
460,the commission however though bound to issue guidelines does so only reluctantly and in a vague manner,START_ or la commission tenue de présenter des orientations ne le fait qu'avec regret et de façon floue _END,17,19
461,the report put forward today re-establishes its place in the political sphere,START_ le rapport proposé aujourd'hui redonne sa place au politique _END,12,11
462,it is one of the steps towards a policy of employment and sustainable development,START_ il est un des pas vers une politique de l'emploi et du développement durable _END,14,16
463,this is what persuades us to vote in favour of it,START_ c'est ceci qui nous conduira à le voter _END,11,10
464,mr president i too would like to congratulate the rapporteur on her excellent work,START_ monsieur le président je voudrais également féliciter le rapporteur pour son excellent travail _END,14,15
465,over the coming years faced with the challenges of globalisation and eastward enlargement europe will more than ever before require appropriate detailed guidance on how to plan and revitalise its economy,START_ je pense qu'au cours de ces prochaines années devant le défi de la mondialisation et de l'élargissement à l'est l'europe aura plus que jamais besoin d'orientations adéquates et précises quant à la programmation et à la relance de son économie _END,31,42
466,to this end europe as a whole and each member state individually will have to make optimum use of all available resources and capacities including the structural funds,START_ dès lors l'europe dans son ensemble et chacun des états membres en particulier devra exploiter au mieux toutes ses ressources et toutes ses capacités et donc également les fonds structurels disponibles _END,28,33
467,for this to be possible what we need from the european commission are not just good intentions but clearer guidelines and a firm commitment to monitoring the way these resources are used by the member states,START_ pour ce faire il faut une commission européenne qui au delà de ses bonnes intentions clarifie ses lignes directrices et s'engage un maximum dans le contrôle de l'utilisation de ces ressources par les états membres _END,36,37
468,for example in recent years italy has had problems in utilising the structural funds mainly because of excessive bureaucracy insufficient information and a lack of involvement of economic and social operators at local level,START_ l'italie par exemple au cours de ces dernières années a rencontré des difficultés dans l'utilisation des fonds structurels surtout en raison d'une bureaucratie excessive d'un manque d'information et de l'implication quasi absente des opérateurs économiques et sociaux au niveau local _END,34,42
469,there are therefore two points to which i would like to draw the commission' s attention firstly we need to make the best possible use of consultation as a means of ensuring proper coordination and participation by all local and regional operators in decision-making precisely so that imbalances and inequalities can be avoided,START_ il y a donc deux points sur lesquels je voudrais attirer l'attention de la commission  tout d'abord il convient d'utiliser au mieux la concertation en tant qu'instrument de coordination et de participation aux décisions des opérateurs locaux et régionaux justement dans le but d'éviter des déséquilibres et des inégalités _END,53,51
470,secondly a genuine effort is required to make administrative procedures simpler and more transparent since they are all too often unnecessarily lengthy and complicated to the point of hindering access to the funds this is something about which european small and medium-sized businesses in particular tend to complain,START_ deuxièmement il faut vraiment simplifier et rendre plus transparents les processus administratifs qui trop souvent présentent une longueur et une complexité inutiles au point de porter préjudice à l'accès aux fonds chose dont se plaignent surtout les petites et moyennes entreprises européennes _END,48,44
471,i will conclude mr president by saying that the failure of the commission' s communication to focus on territorial pacts and especially methods of combating unemployment among women and young people is cause for serious concern,START_ je conclus monsieur le président en affirmant qu'il est assez grave que la commission dans sa communication n'ait porté que peu attention aux pactes territoriaux et surtout aux modalités de lutte contre le chômage chez les femmes et les jeunes _END,36,42
472,mr president like my colleague mr evans it is a particular pleasure to rise and make my first speech to this house on this very important issue especially since i represent a part of the united kingdom the west midlands which has hitherto benefited from objective 2 funding in particular,START_ monsieur le président à l'instar de mon collègue m evans je me réjouis que le premier discours que je viens prononcer devant cette assemblée porte sur un sujet aussi important en particulier parce que je représente une partie du royaume-uni les west midlands qui a jusqu'ici bénéficié des fonds de l'objectif 2 _END,50,54
473,but the report before the house tonight is a prime example of how if we are not very careful we can produce very grandiose-sounding ideas that lack the substance to make them relevant to the people who benefit directly from them,START_ mais le rapport présenté ce soir au parlement est un excellent exemple de ce que si nous n'y prenons pas garde nous pouvons créer des idées qui semblent grandioses mais qui manquent de la substance nécessaire pour être pertinentes pour les personnes en bénéficiant directement _END,41,47
474,the report itself is well-intentioned but as so often when we deal with these issues lacks clarity of purpose and a sound basis for operability,START_ le rapport lui-même part d'une bonne intention mais comme cela arrive bien souvent lorsque nous traitons de ces sujets manque de clarté quant à son objectif et d'une base solide pour son fonctionnement _END,25,35
475,that is why i and my group are proposing three key amendments and additions to the text not to take anything away from the proposal but to make it more relevant to those whom it is there to guide,START_ c'est pourquoi mon groupe et moi-même proposons trois amendements-clés et des ajouts au texte il ne s'agit nullement d'ôter quoi que ce soit de la proposition mais de la rendre plus pertinente pour ceux qu'elle entend guider _END,39,39
476,i would like to explain our thinking here,START_ je voudrais expliquer notre pensée _END,8,7
477,firstly we are concerned with the proper use of the structural and cohesion funds,START_ premièrement nous nous soucions de la bonne utilisation des fonds structurels et du fonds de cohésion _END,14,18
478,past experience dictates that as the elected representatives of the european taxpayer we should and indeed must demand financial probity and transparency in the disbursement and auditing of this money hence our amendments and additions relate to achieving what are known as value for money indicators in the grant-giving process,START_ l'expérience du passé montre que nous devrions et nous devons en tant que députés élus des contribuables européens exiger la probité financière et la transparence dans le versement et le contrôle des sommes allouées nos amendements et ajouts visent donc à établir des indicateurs de ce que l'on connaît sous l'expression en avoir pour son argent dans le processus d'octroi des crédits _END,50,64
479,next we all too often see vast sums of money being spent on projects whose outcomes will necessarily be unclear at the start of the programme period,START_ ensuite nous voyons bien trop souvent que l'on dépense d'énormes sommes dans des projets dont l'issue est inévitablement incertaine au début de la période du programme _END,27,28
480,but at the mid-way point or end of that period there is no effective way of terminating the project if it has not proved successful,START_ mais à mi-parcours ou à la fin de cette période il n'y a pas de moyen efficace pour mettre un terme au projet si celui-ci ne s'est pas avéré fructueux _END,25,32
481,our additions therefore call for the provision of practical enforceable exit strategies so that not only can we have the requisite insurance against ongoing costs which are often loaded onto the taxpayer but we also avoid the well-rehearsed syndrome of throwing good money after bad,START_ nos ajouts exigent donc que l'on prévoie des stratégies de sortie pratiques et applicables afin que non seulement nous puissions avoir l'assurance nécessaire contre des coûts continus que doivent souvent supporter les contribuables mais également que nous puissions éviter le syndrome qui consiste s'enfoncer dans une mauvaise affaire _END,45,50
482,finally we call for a change to the balance and method by which the funds are disbursed,START_ enfin nous demandons un changement de l'équilibre et de la méthode de versement des fonds _END,17,17
483,there should be greater involvement of the private sector which will introduce financial reality as a perspective within the funding equation,START_ il faudrait davantage impliquer le secteur privé qui introduira la perspective de la réalité financière dans l'équation de financement _END,21,21
484,also the type of project funded needs to be shifted away from small-scale revenue-based projects which are hard to monitor towards capital schemes where in the majority of cases the benefits are there for all to see,START_ il faut également éviter que les projet financés consistent en des projets basés sur des revenus et à petite échelle difficiles à suivre et privilégier les plans importants dont les retombées sont dans la plupart des cas visibles pour tous _END,37,42
485,that way the much-trumpeted need for transparency in the use of these funds and the temptation to draw unnecessarily in the longer term on the local tax base in areas where such projects are located will be diminished and the european parliament will show how seriously it takes the need for such reform,START_ on réduira de la sorte le besoin sur lequel on ne cesse d'insister de transparence dans l'utilisation de ces fonds et la tentation d'utiliser inutilement dans le long terme l'assiette de l'impôt locale dans des zones où se situent ces projets et le parlement européen montrera l'importance qu'il accorde au besoin d'une telle réforme _END,53,56
486,if these changes to the report are supported by the house today i believe that they will move us forward in the next phase of achieving the historic objectives which the funds were set up to bring about namely to assist - in a financially sustainable manner - those deprived areas of the european union which need to be brought up to a decent standard of living not by giving a hand-out but by giving a hand-up,START_ si le parlement soutient ces modifications du rapport aujourd'hui celles-ci nous feront je pense passer à la phase suivante de la poursuite des objectifs historiques pour lesquels ces fonds ont été créés à savoir l'aide ­ qui doit être financièrement soutenable ­ aux régions démunies de l'union européenne qu'il nous faut porter à un niveau de vie décent non pas en leur donnant l'aumône mais en les stimulant _END,77,70
487,i urge the house to support these changes,START_ j'invite le parlement à soutenir ces modifications _END,8,9
488,mr president commissioner i too would like to commend the rapporteur on her report which is a meticulous and substantive piece of work,START_ monsieur le président monsieur le commissaire chers collègues je tiens moi aussi à féliciter mme le rapporteur pour son rapport car ce fut un travail difficile et sérieux _END,23,30
489,the european union' s structural and cohesion policies are without doubt essential tools for creating the right conditions with a view to tackling and reducing the levels of economic and social disparity between the regions,START_ il ne fait aucun doute que les politiques structurelles et la politique de cohésion de l'union européenne sont les outils de base pour créer les conditions du développement et de la réduction des inégalités économiques et sociales des régions _END,35,41
490,despite the steps taken thus far these levels are still very high and are unacceptably high as regards unemployment,START_ ces dernières malgré les avancées qui ont été réalisées connaissent toujours des taux élevés et en matière de chômage des taux inadmissibles _END,19,24
491,these policy objectives can only be achieved through their careful coordination and organisation on the basis of well thought-out and sensible guidelines,START_ pour mieux atteindre les objectifs de ces politiques il est indispensable de coordonner et d'organiser celles-ci sur la base de lignes directrices bien élaborées astucieuses dirais-je _END,22,28
492,let us not forget that when these policies are effective they also benefit european citizens by directly improving their quality of life,START_ n'oublions pas que ces politiques lorsqu'elles sont efficaces deviennent tangibles pour le citoyen européen qui en bénéficie qui constate directement l'amélioration de sa qualité de vie _END,22,28
493,let us not forget either that greater consideration should be given to the islands and remote regions of the european union because their geographical location is a hindrance to their economic and social development unless of course the commission is intending to build bridges or underwater tunnels linking them to the european mainland,START_ n'oublions pas non plus qu'il faudra accorder une importance toute particulière aux régions éloignées et insulaires de l'union européenne parce qu'elles souffrent de handicaps fondamentaux dans leur développement économique et social en raison de leur position géographique sauf bien sûr si la commission a l'intention de les relier au continent européen par des ponts ou par des tunnels sous la mer  _END,53,63
494,in closing i would like to point out that the structural policies as a whole require greater flexibility so that they can adapt to changing circumstances and thereby respond to the new challenges and opportunities of the new millennium for which we all hope for the best,START_ pour terminer je voudrais souligner que les politiques structurelles dans leur ensemble appellent une plus grande souplesse pour s'adapter aux évolutions et répondre ainsi aux nouveaux défis et aux chances qui se font jour avec l'avènement d'un nouveau millénaire pour lequel nous souhaitons tous le meilleur _END,47,48
495,mr president mrs schroedter' s report undoubtedly contains several important observations and i would like to congratulate her on that,START_ monsieur le président nul doute que le rapport de mme schroedter contient nombre d'observations importantes et je l'en félicite _END,20,21
496,however i feel that we should be a little more concerned about the actual direction and outcome of the community' s regional policy,START_ mais je suis d'avis que nous devrions nous inquiéter davantage encore des orientations et des résultats de la politique régionale de la communauté _END,23,25
497,quite briefly structural policy does not ease the problem of mass unemployment in any way rather it aggravates it,START_ pour résumer le chômage massif effroyable bien loin de s'atténuer s'aggrave encore dans le cadre de la politique structurelle _END,19,21
498,the agricultural economy and agricultural regions have been irreparably damaged by the existing regional policy which has had dramatic consequences on employment levels in rural areas and on the living conditions of farmers particularly in the south,START_ l'économie et les zones agricoles sont irrémédiablement touchées par la politique régionale pratiquée avec des conséquences dramatiques sur l'emploi dans les campagnes et sur les conditions de vie des agriculteurs principalement dans le sud _END,37,36
499,regional disparities are becoming much more marked within the member states,START_ les écarts régionaux se creusent dramatiquement au sein des états membres _END,11,13
500,if we examine the data presented in the sixth periodic report we will see that the last decade has witnessed a proliferation of regional disparities,START_ d'après les données du sixième rapport on relève pour les dix dernières années des écarts considérables dans les inégalités régionales _END,25,22
501,little consideration if any at all has been given to the great problems facing the island regions of the union whose shortcomings as regards infrastrucutres structure transport communication and energy has resulted in their gradual depopulation,START_ jusqu'à présent il n'a été accordé que très peu voire aucune attention aux énormes problèmes des régions insulaires de l'union où les déficiences dans les domaines des infrastructures des transports des communications et de l'énergie conduisent invariablement à la désertification _END,36,42
502,the union' s economic and social policy is just as much to blame for that as its regional policy,START_ tout cela est à imputer tant à la politique régionale qu'à la politique économique et sociale plus générale de l'union _END,19,22
503,a large section of the union' s population has strongly condemned this policy for being dangerous and anti grass-roots,START_ des segments importants des peuples de l'union dénoncent avec vigueur le caractère dangereux et antisocial de cette politique _END,19,20
504,unfortunately the new guidelines seem to be heading in the same direction and there are no signs that things will change once they have been implemented,START_ les nouvelles lignes directrices vont malheureusement dans le même sens et rien ne montre que leur application rende un changement possible _END,26,23
505,mr president i would like to say a few words in order to highlight two points made in these reports which are of fundamental strategic importance to the way we see the union,START_ monsieur le président chers collègues permettez-moi de souligner brièvement deux points rappelés dans ces rapports et qui présentent une importance stratégique essentielle dans la perspective que nous avons de l'union _END,33,32
506,the first is the fundamental central importance that we continue to give to the principle of economic and social cohesion,START_ le premier concerne l'importance essentielle et centrale que nous continuons d'accorder au principe de la cohésion économique et sociale _END,20,21
507,we are concerned to hear news that the commission is taking this objective less seriously,START_ nous sommes inquiets des bruits qui courent selon lesquels l'importance de cet objectif diminuerait aux yeux de la commission _END,15,21
508,we still feel that economic and social cohesion is one of the union' s fundamental objectives,START_ nous continuons à penser que la cohésion économique et sociale reste un objectif central de l'union _END,16,18
509,secondly i agree with what has already been said on the issue of the islands and i would also like to bring the outermost regions to your attention,START_ deuxièmement je suis d'accord avec ce qu'un collègue a dit ici concernant la thématique des îles et je voudrais attirer aussi l'attention sur les régions ultrapériphériques _END,28,28
510,in future we would like to see greater ambition applied to the subject of the outermost regions such as in my country the islands of the azores and madeira,START_ nous voudrions à l'avenir qu'il y ait plus d'audace dans le traitement de la thématique des régions ultrapériphériques qui concerne dans mon pays les îles des açores et de madère _END,29,32
511,i would like to ask if the commission is able to enlighten us on the reasons for the delay in the commission' s report on the outermost regions which has been long awaited by parliament,START_ je profite de cette occasion pour demander si la commission peut nous éclairer quant aux raisons du retard du rapport de la commission sur les régions ultrapériphériques que le parlement attend depuis longtemps  _END,35,35
512,mr president first of all i would like to thank the rapporteur not least for being willing to include in the report the suggestions we made,START_ monsieur le président je voudrais tout d'abord remercier le rapporteur notamment pour s'être montrée disposée à reprendre certaines de nos recommandations dans son rapport _END,26,26
513,mr president commissioner the guidelines are intended to help steer the member states towards achieving the reform objectives contained in the programmes,START_ monsieur le président mesdames et messieurs monsieur le commissaire grâce aux orientations les états membres se voient offrir une ligne de conduite pour atteindre les objectifs de réforme dans le cadre de la programmation _END,22,36
514,however contrary to their claim to provide guidance the commission' s proposals in this respect are reminiscent to a far greater extent of a catalogue of possible measures within the scope of the various policy areas,START_ toutefois les propositions avancées par la commission en la matière représentent davantage un catalogue des mesures possibles dans les différents domaines plutôt que de répondre à leur ambition qui est d'offrir une orientation _END,36,35
515,nonetheless their true purpose is to give direction and to set priorities,START_ pourtant leur but originel est d'indiquer la direction à suivre et de fixer des priorités _END,12,17
516,i agree with the rapporteur that unfortunately the commission document contains too little in the way of recommendations to the member states on simplifying administration and i support the calls for negotiations to concentrate on promoting a favourable climate for labour-intensive small and medium-sized enterprises on setting clear objectives for alternative sources of financing including provisions for risk capital and private financing and on start-up help for companies including new information technologies and investment in innovative fields,START_ comme le rapporteur j'estime que le document de la commission contient hélas trop peu de recommandations aux états membres en matière de simplification administrative et je veux mettre l'accent sur des exigences telles que celles qui suivent  les négociations doivent se concentrer sur la promotion d'un environnement favorable pour les petites et moyennes entreprises à forte intensité de main d'uvre sur la fixation d'objectifs clairs en matière de sources alternatives de financement - en ce compris des réglementations pour le capital à risque et le financement privé - sur les aides au démarrage d'entreprises - y compris dans le domaine des nouvelles technologies et pour ce qui est des investissements dans des domaines novateurs _END,77,116
517,i am particularly in favour of a proposed amendment tabled by my group to paragraph 10 to ensure an appropriate level of private sector involvement in the planning and implementation of the projects,START_ j'apporte mon soutien particulier à une proposition d'amendement avancée par mon groupe au point 10 laquelle devrait garantir l'implication appropriée du secteur privé en matière de planification et d'exécution des projets _END,33,33
518,i should be very grateful mrs schroedter if you would actually include this proposed amendment in the part relating to subsidiarity in your positive deliberations,START_ je me réjouirais madame schroedter que vous puissiez considérer positivement l'inclusion de cette proposition d'amendement et aussi dans l'intérêt de la subsidiarité _END,25,24
519,mr president commissioner in the committee on employment and social affairs we upheld unanimously the criterion that it was of strategic importance and a matter of priority to support the interventions of the structural and cohesion funds which are working for a better opportunity for jobs for the unemployed and for equality between men and women,START_ monsieur le président monsieur le commissaire la commission de l'emploi et des affaires sociales est restée unanime pour dire qu'il était stratégique et prioritaire de soutenir les interventions des fonds structurels et de cohésion visant à offrir de meilleures opportunités d'emploi aux chômeurs et à favoriser l'égalité entre hommes et femmes _END,56,53
520,unfortunately the excellent schroedter report did not take account of this criterion despite the fact that there is considerable evidence to show - as we shall see later in the berend report - how in fact these funds are providing splendid assistance to the most backward regions in order to bridge the gulf that separates them from europe' s most highly-developed regions,START_ malheureusement l'excellent rapport de schroedter n'a pas pris en considération ce critère malgré les nombreuses preuves ­ et nous le verrons plus tard dans le rapport berend ­ de ce que ces fonds aident effectivement de manière formidable les régions les plus en retard à réduire l'écart qui les sépare des régions les plus développées d'europe _END,62,58
521,they are growing but only in terms of gdp,START_ elles croissent mais au niveau du pib _END,9,9
522,they are increasing in competitiveness but they are not all experiencing an increase in wealth because there is no increase in employment and there are still differences in employment opportunities between regions,START_ leur compétitivité s'accroît mais l'accroissement de la richesse ne bénéficie pas à tout le monde car l'emploi n'augmente pas et la différence d'opportunités d'emploi persiste dans certaines régions _END,32,30
523,commissioner please read the opinion of the committee on employment and social affairs and treat it as a matter of priority because this is our citizens' greatest problem,START_ monsieur le commissaire lisez l'avis de la commission de l'emploi et des affaires sociales et accordez-lui un caractère prioritaire car c'est là que réside le principal problème des citoyens _END,28,31
524,please take account in strategic terms in the revision and in the allocation of reserves of employment needs because this fundamentally is what the structural funds and the cohesion funds require,START_ dans la révision dans l'assignation des réserves prenez en considération de manière stratégique le besoin d'emplois car ceci est en définitive ce que demandent les fonds structurels et les fonds de cohésion _END,31,34
525,mr president it is important that the guidelines head in the right direction and that they guarantee the effectiveness of the programmes of the crucial seven-year period 2000-2006 so as to ensure sustainable development and job creation particularly for women and young people and ensure a balance is struck between economic and social policy and regional policy,START_ monsieur le président il importe que les lignes directrices permettent de bien orienter et de renforcer l'efficacité des programmes de la période cruciale de sept ans 2002-2006 en sorte que deviennent enfin réalité le développement durable l'aide à l'emploi notamment pour les femmes et les jeunes et que soit assuré l'équilibre entre les politiques économique sociale et environnementale _END,57,60
526,it is particularly important to address those serious issues concerning urban areas employment in rural areas aid to agricultural regions and equal development opportunities for the islands of the european union and for the greek islands which of course comprise half of the islands of the union as stipulated in article 158 of the treaty,START_ il convient tout particulièrement de s'attaquer à des problèmes urbains aigus de préserver l'emploi en milieu rural et naturellement d'offrir comme le prévoit précisément l'article 158 du traité des chances égales de développement aux îles de l'union européenne également aux îles grecques qui en représentent la moitié _END,55,49
527,cohesion policy needs to be strengthened further because a europe which totally disregards the standard of living in its regions can neither be reliable or viable,START_ la politique de cohésion de l'union doit encore être renforcée car une europe dont les régions présentent des écarts énormes de niveau de vie ne peut être ni crédible ni viable _END,26,33
528,mr president ladies and gentlemen i would like to express my great interest in listening carefully to the comments occasional criticisms and suggestions that some of you have just made in your speeches with reference to mrs schroedter' s report,START_ monsieur le président mesdames messieurs les députés je voudrais vous dire le grand intérêt que j' ai pris à écouter soigneusement les observations parfois les critiques et suggestions que les uns et les autres vous avez fait à l' instant dans vos interventions à partir du rapport de mme schroedter _END,40,52
529,everyone understands mrs schroedter ladies and gentlemen the reasons and the time limits involved - and i shall come back to this point presently - and whatever the time limits or delays since we are discussing this report right now as the representative for the commission i consider that the report has been issued at an opportune moment with regard to the guidelines for 2000-2006 as it is now that we are starting the new regional programming,START_ tout le monde comprend madame le rapporteur mesdames messieurs les raisons les délais - j' y reviendrai dans un instant - et quels que soient ces délais ou ces retards puisque c' est maintenant que nous discutons de ce rapport je considère au nom de la commission qu' il vient au bon moment s' agissant des orientations 2000-2006 puisque c' est en ce moment que nous débutons la nouvelle programmation régionale _END,77,73
530,mrs schroedter you quite rightly pointed out that while it is chiefly up to the member states and the regions to define their own priorities in development matters european union cofinancing of the programmes requires and is the justification for a situation where community priorities as debated and approved in this house should also be taken into account in order to promote this community aspect of economic and social cohesion which many of you forcefully pointed out,START_ madame le rapporteur vous avez rappelé à juste titre que s' il incombe en effet principalement aux états membres et aux régions de définir leurs propres priorités en matière de développement le cofinancement des programmes par notre union européenne exige justifie qu' il soit également tenu compte des priorités communautaires telles qu' elles sont débattues et approuvées ici afin de promouvoir cette dimension communautaire de la cohésion économique et sociale que beaucoup d' entre vous ont rappelée avec force _END,77,81
531,so ladies and gentlemen i should like in a moment to return to the role and structure of the guidelines before mentioning the principal comments and criticisms that you mrs schroedter and the various members of this house have made,START_ aussi mesdames et messieurs aurais-je souhaité dans un instant revenir sur le rôle et la structure des orientations avant d' évoquer les principales remarques ou critiques que vous avez madame le rapporteur ou vous-mêmes mesdames et messieurs faites les uns ou les autres _END,40,45
532,regarding the role and structure of these guidelines mr hatzidakis mrs schroedter and mrs mccarthy mentioned that the purpose of these guidelines is to assist national and regional authorities in preparing their programming strategy for each of structural fund objectives 1 2 and 3 as well as their links with the cohesion funds,START_ s' agissant du rôle et de la structure de ces orientations m le président hatzidakis mme le rapporteur mme mccarthy ont rappelé que ces orientations ont pour vocation d' aider les autorités nationales et régionales dans la préparation de leur stratégie de programmation pour chacun des objectifs 1 2 3 des fonds structurels ainsi que leurs liens avec le fonds de cohésion _END,53,64
533,this means putting forward the commission' s priorities based on past experience in implementing the programmes as well as current community policies relating to structural operations,START_ il s' agit de présenter les priorités de la commission s' appuyant sur les expériences passées lors de la mise en uvre des programmes tout autant que des politiques communautaires actuelles liées aux interventions structurelles _END,26,37
534,the objective is that these priorities should contribute to the better use to the optimum and efficient use as some of you have wished of community involvement including mr bradbourn using if necessary the performance reserve which is specifically intended to encourage the optimum and efficient use of european public monies,START_ et l' objectif est bien que ces priorités puissent contribuer à une meilleure utilisation à une utilisation optimale efficace comme plusieurs d' entre vous l' ont souhaitée des interventions communautaires y compris monsieur bradbourn en utilisant le moment venu la réserve de performances qui a notamment cet objectif d' encourager à une utilisation optimale et efficace de l' argent public européen _END,51,63
535,when i speak of optimum utilisation i am referring both to the national and regional levels,START_ et quand je parle d' utilisation optimale j' évoque aussi bien le niveau national que le niveau régional _END,16,20
536,and so mr seppänen i shall also mention at this point speaking of the national level the link with the cohesion fund,START_ et donc m seppänen j' évoque bien également ici - parlant du niveau national - le lien avec le fonds de cohésion _END,22,24
537,this is the purpose of these guidelines,START_ voilà pour l' objectif de ces orientations _END,7,9
538,regarding their content as you know ladies and gentlemen of this house they are focused on three strategic priorities that your rapporteur pointed out very clearly but at the same time very passionately as i understood her presentation just now,START_ s' agissant de leur contenu elles s' articulent vous le savez mesdames et messieurs les députés autour de trois priorités stratégiques que votre rapporteur avec beaucoup de clarté et en même temps beaucoup d' ardeur comme je l' ai compris tout à l' heure dans son exposé a rappelées _END,40,51
